seed,horizon,one_step_cosine,two_step_cosine,effect,one_step_margin,two_step_margin
2026080901,1,0.7476147658258674,0.7493863822480166,0.0017716164221491804,0.05767075901333929,0.056290183670063776
2026080901,2,0.7131371143544545,0.7215121426996076,0.008375028345153135,0.06616490378820095,0.06268809731613256
2026080901,3,0.6939281843312365,0.7054109171413923,0.011482732810155771,0.05638710586450524,0.053248605218690015
2026080901,4,0.6790020397010441,0.6899526430627646,0.01095060336172049,0.05133051603606842,0.048257012779303055
2026080902,1,0.747009128648406,0.7500601103172488,0.003050981668842878,0.056997366836494257,0.05660827768914167
2026080902,2,0.7146334091744143,0.7255915407052309,0.010958131530816595,0.06768464713548605,0.06683579369958648
2026080902,3,0.6935711035470187,0.7068487914230874,0.013277687876068756,0.052840072188231835,0.04994507347348187
2026080902,4,0.6785174738929332,0.6916461895709385,0.013128715678005332,0.04607143090761956,0.042129970424152674
2026080903,1,0.7531115105094226,0.7544035060201251,0.0012919955107024705,0.06410960602283133,0.06429772913476928
2026080903,2,0.7211683061648981,0.7312934180288704,0.010125111863972247,0.07519500765476239,0.0734230808111449
2026080903,3,0.6991732854671577,0.7122514628214611,0.013078177354303389,0.059668616012253484,0.06030808777272256
2026080903,4,0.6820812534891023,0.6955847558660473,0.013503502376944976,0.050936789175102914,0.05339357584385507
2026080904,1,0.7538754145948042,0.7553777234367562,0.0015023088419520159,0.06160842015522483,0.060705522537068624
2026080904,2,0.7247755970750052,0.7337033219408357,0.008927724865830489,0.07099923779338346,0.06775505166909501
2026080904,3,0.7041582984700143,0.7145926013765911,0.010434302906576765,0.05771881060489459,0.05535958009287767
2026080904,4,0.6875450859502125,0.699493090417403,0.011948004467190576,0.05039692059198464,0.04781811364605115
2026080905,1,0.7517959019849041,0.7545676376945363,0.0027717357096321837,0.05867770861782984,0.061907960684659535
2026080905,2,0.7253547795120252,0.7300735341924071,0.004718754680381854,0.06983784585258557,0.06905110764665856
2026080905,3,0.7058717652298498,0.7137329336870358,0.007861168457185985,0.0579176960794322,0.05504301353774477
2026080905,4,0.6926334801552385,0.7022624931458531,0.009629012990614583,0.05086677253435834,0.048616927493337125
2026080906,1,0.7525199724109803,0.7522511274531558,-0.0002688449578245322,0.059047773682550764,0.06011327221198193
2026080906,2,0.720567273089181,0.7274183897704121,0.006851116681231062,0.06529855490874525,0.06690065130613065
2026080906,3,0.7023227298807252,0.7106618688063037,0.008339138925578471,0.05367862406886548,0.05304815918943662
2026080906,4,0.6858991631313655,0.6987884136764488,0.012889250545083386,0.047313144225238135,0.04874682687980858
2026080907,1,0.7531514524911598,0.7515449754971999,-0.0016064769939598822,0.060611605375973765,0.057506774436900665
2026080907,2,0.7219969279497518,0.7293347493745651,0.007337821424813318,0.06928728497525061,0.06745990681387204
2026080907,3,0.7030237966379926,0.7125149531354663,0.009491156497473674,0.05804113192225091,0.05452881719304503
2026080907,4,0.6869078808289183,0.6973987110457233,0.01049083021680497,0.048562284913508,0.044341777049656694
2026080908,1,0.7508166846832509,0.7521030786828613,0.0012863939996103912,0.06002839264283244,0.060407836585949504
2026080908,2,0.7215284922804928,0.7288484597008229,0.007319967420330142,0.06827263126126937,0.0681579147609801
2026080908,3,0.702391297494835,0.7132680749765998,0.010876777481764854,0.05616720835694611,0.05807279622813499
2026080908,4,0.6872170800134803,0.6988075215952181,0.011590441581737831,0.05047809270367409,0.05181503326308001
